step,episode_reward,episode_length,world_model_loss
26,79.294319,26,0.0
99,11.0838,73,0.0
120,0.666619,21,0.0
133,0.46209,13,0.0
154,0.953787,21,0.0
175,0.376198,21,0.0
203,0.863018,28,0.0
223,0.158152,20,0.0
261,1.02473,38,0.0
284,0.361409,23,0.0
294,0.145881,10,0.0
307,0.419329,13,0.0
329,0.395562,22,0.0
348,0.643687,19,0.0
359,0.194372,11,0.0
385,0.584596,26,0.0
399,0.479669,14,0.0
415,0.47348,16,0.0
431,0.402719,16,0.0
441,0.321382,10,0.0
458,0.267055,17,0.0
468,0.153275,10,0.0
484,0.56213,16,0.0
515,0.447061,31,0.0
541,0.590926,26,0.0
561,0.466312,20,0.0
577,0.447425,16,0.0
592,0.357528,15,0.0
602,0.252979,10,0.0
628,0.589457,26,0.0
649,0.736295,21,0.0
673,0.656106,24,0.0
688,0.424611,15,0.0
703,0.895707,15,0.0
726,1.010775,23,0.0
745,0.984613,19,0.0
759,0.189391,14,0.0
788,1.439457,29,0.0
812,1.638605,24,0.0
841,0.417334,29,0.0
865,0.548691,24,0.0
889,0.598795,24,0.0
905,0.402291,16,0.0
951,1.51079,46,0.0
971,0.473397,20,0.0
986,0.88855,15,0.0
1005,0.4358,19,0.0
1041,0.868601,36,0.0
1074,2.452421,33,0.0
1119,1.577271,45,0.0
1130,0.965503,11,0.0
1167,0.954893,37,0.0
1204,0.719887,37,0.0
1230,0.791427,26,0.0
1296,3.922943,66,0.0
1336,2.07736,40,0.0
1368,5.257224,32,0.0
1407,0.867783,39,0.0
1462,3.524869,55,0.0
1506,2.562765,44,0.0
1571,3.227626,65,0.0
1636,3.478866,65,0.0
1702,12.356577,66,0.0
1768,2.653314,66,0.0
1876,5.502096,108,0.0
1958,3.633902,82,0.0
2257,20.504937,299,0.0
2414,8.799736,157,0.0
2630,10.804859,216,0.0
2799,8.264942,169,0.0
2943,6.924823,144,0.0
3146,8.008878,203,0.0
3383,8.810066,237,0.0
4383,23.198898,1000,0.0
5383,23.1725,1000,0.0
5869,13.099063,486,0.0
6501,16.259182,632,0.0
6720,7.276144,219,0.0
7720,22.528887,1000,0.0
7863,5.804238,143,0.0
8043,6.501873,180,0.0
8181,5.60564,138,0.0
8312,5.457928,131,0.0
8464,6.015973,152,0.0
8572,5.060831,108,0.0
8741,6.491964,169,0.0
8939,7.074628,198,0.0
9114,6.637348,175,0.0
9297,6.795743,183,0.0
9478,6.839951,181,0.0
9571,2.980616,93,0.0
9688,5.335335,117,0.0
9851,6.399627,163,0.0
10002,6.293009,151,0.0
10190,6.938268,188,0.0
10326,5.82077,136,0.0
10441,5.24246,115,0.0
10634,6.991916,193,0.0
10772,5.882847,138,0.0
10935,6.485958,163,0.0
11071,5.904831,136,0.0
11223,6.311545,152,0.0
11370,6.391775,147,0.0
11507,5.663581,137,0.0
11644,5.927421,137,0.0
11885,8.032699,241,0.0
12294,11.780472,409,0.0
