step,episode_reward,episode_length,world_model_loss
200,-85.899864,200,0.0
400,-9.009297,200,0.0
600,-6.436885,200,0.0
800,-4.86532,200,0.0
1000,-6.10546,200,0.0
1200,-7.195185,200,0.0
1400,-9.38999,200,0.0
1600,-6.499256,200,0.0
1800,-10.320665,200,0.0
2000,-7.375457,200,0.0
2200,-14.923489,200,0.0
2400,-7.351244,200,0.0
2600,-7.407753,200,0.0
2800,-12.884277,200,0.0
3000,-7.508498,200,0.0
3200,-9.235716,200,0.0
3400,-11.429708,200,0.0
3600,-7.980444,200,0.0
3800,-9.340679,200,0.0
4000,-14.497234,200,0.0
4200,-8.711994,200,0.0
4400,-7.889275,200,0.0
4600,-8.929206,200,0.0
4800,-9.956594,200,0.0
5000,-12.783902,200,0.0
5200,-10.238649,200,0.0
5400,-11.698384,200,0.0
5600,-10.952392,200,0.0
5800,-10.277153,200,0.0
6000,-10.053966,200,0.0
6200,-8.99262,200,0.0
6400,-15.547688,200,0.0
6600,-11.376475,200,0.0
6800,-10.179489,200,0.0
7000,-10.668261,200,0.0
7200,-10.792252,200,0.0
7400,-11.549361,200,0.0
7600,-11.494449,200,0.0
7800,-12.653861,200,0.0
8000,-13.125299,200,0.0
8200,-13.644618,200,0.0
8400,-12.319485,200,0.0
8600,-12.792071,200,0.0
8800,-13.304979,200,0.0
9000,-14.176586,200,0.0
9200,-12.725985,200,0.0
9400,-14.929168,200,0.0
9600,-14.481048,200,0.0
9800,-13.601348,200,0.0
10000,-14.479025,200,0.0
