step,episode_reward,episode_length,world_model_loss
200,-113.81013624174531,200,
400,-9.226745134953207,200,
600,-6.904495497344706,200,
600,,,9.159329414367676
800,-8.987116072975576,200,
800,,,8.253801345825195
1000,-9.364882185038745,200,
1000,,,7.8628950119018555
1200,-7.895319601952742,200,
1200,,,138.20370483398438
1400,-8.600165696873319,200,
1400,,,6.376187801361084
1600,-8.197228292458925,200,
1600,,,5.117748737335205
1800,-15.839223476507923,200,
1800,,,134.6186981201172
2000,-9.548553686650147,200,
2000,,,3.6481480598449707
2200,-8.279998709935258,200,
2200,,,3.2628226280212402
2400,-15.190006930957573,200,
2400,,,2.201918840408325
2600,-9.511602880723988,200,
2600,,,2.101314067840576
2800,-8.720320643684394,200,
2800,,,2.210759401321411
3000,-12.57630845010021,200,
3000,,,2.0523910522460938
3200,-11.353087863774027,200,
3200,,,1.9235918521881104
3400,-11.448879267224447,200,
3400,,,132.29608154296875
3600,-10.341271292712433,200,
3600,,,1.606627106666565
3800,-7.798119749304829,200,
3800,,,1.8149884939193726
4000,-11.663928598909186,200,
4000,,,1.6615970134735107
4200,-14.055129480304219,200,
4200,,,1.8335438966751099
4400,-12.960891560424777,200,
4400,,,1.7968533039093018
4600,-7.824242855210807,200,
4600,,,1.716559886932373
4800,-8.956504899189563,200,
4800,,,1.8504860401153564
5000,-14.161988464555378,200,
5000,,,1.5800260305404663
5200,-10.700620903902724,200,
5200,,,1.50209641456604
5400,-14.09279331776412,200,
5400,,,1.5713897943496704
5600,-9.065564624267282,200,
5600,,,1.5307146310806274
5800,-10.961883829975365,200,
5800,,,1.398049235343933
6000,-8.756267962233395,200,
6000,,,1.5530871152877808
6200,-14.628912418256332,200,
6200,,,1.5602178573608398
6400,-9.160537659020918,200,
6400,,,1.460883378982544
6600,-16.854328580642175,200,
6600,,,1.5849833488464355
6800,-15.713275273746552,200,
6800,,,1.6644366979599
7000,-7.519061246100526,200,
7000,,,1.4104317426681519
7200,-7.870366923951954,200,
7200,,,1.273734450340271
7400,-10.9826954428987,200,
7400,,,1.4445921182632446
7600,-10.731155467114585,200,
7600,,,1.4071747064590454
7800,-16.140044139815508,200,
7800,,,1.6975774765014648
8000,-8.414068468524771,200,
8000,,,1.516821026802063
8200,-14.330471364775951,200,
8200,,,1.2572239637374878
8400,-14.185768092320398,200,
8400,,,1.5166330337524414
8600,-15.064083146535676,200,
8600,,,1.3202853202819824
8800,-14.635970766845086,200,
8800,,,1.284554362297058
9000,-10.81085850666029,200,
9000,,,1.4232748746871948
9200,-13.278535877680742,200,
9200,,,1.2479701042175293
9400,-7.229878014547109,200,
9400,,,1.2981942892074585
9600,-8.202256584851751,200,
9600,,,1.4378310441970825
9800,-7.4037297568190015,200,
9800,,,1.245522141456604
10000,-11.071558300767373,200,
10000,,,1.436571717262268
