env,agent,mean,std
Hopper-v5,categorical,1.2419693747044482,1.0020451978483795
Hopper-v5,gaussian,3.3371058320909732,1.230564884823111
Hopper-v5,sac,5.70341758070063,0.5378087324040367
Pendulum-v1,categorical,-11.127119757856386,1.163490725299971
Pendulum-v1,gaussian,-10.620392954216008,1.0616676916454582
Pendulum-v1,sac,-6.790344186666668,4.325121907087495
Walker2d-v5,categorical,1.08763262242015,2.088303407431923
Walker2d-v5,gaussian,3.642166916001244,3.179989490205262
Walker2d-v5,sac,4.307728493780877,2.7755916142575656
