nohup: ignoring input
Experiment 4: adapt to gravity×1.5 on HalfCheetah-v5, 25 total runs, adapt_steps=100000, partition 2/3, device=cuda

[ 3/25] gaussian_HalfCheetah-v5_seed0_gravityx1.5_wmunfrozen
[   1000 / 100000]  ep   1  reward(norm): -261.386  reward(raw): -261.4  len: 1000  time: 0.14s
[   2000 / 100000]  ep   2  reward(norm): -274.491  reward(raw): -274.5  len: 1000  time: 0.14s
[   3000 / 100000]  ep   3  reward(norm): -212.616  reward(raw): -212.6  len: 1000  time: 0.15s
[   4000 / 100000]  ep   4  reward(norm): -266.839  reward(raw): -266.8  len: 1000  time: 0.14s
[   5000 / 100000]  ep   5  reward(norm): -203.372  reward(raw): -203.4  len: 1000  time: 0.14s
[   6000 / 100000]  ep   6  reward(norm): 478.187  reward(raw): 478.2  len: 1000  time: 5.34s
[   7000 / 100000]  ep   7  reward(norm): 539.417  reward(raw): 539.4  len: 1000  time: 4.97s
[   8000 / 100000]  ep   8  reward(norm): 484.574  reward(raw): 484.6  len: 1000  time: 4.59s
[   9000 / 100000]  ep   9  reward(norm): 528.076  reward(raw): 528.1  len: 1000  time: 3.50s
[  10000 / 100000]  ep  10  reward(norm): 511.204  reward(raw): 511.2  len: 1000  time: 4.34s
[  11000 / 100000]  ep  11  reward(norm): 585.265  reward(raw): 585.3  len: 1000  time: 4.07s
[  12000 / 100000]  ep  12  reward(norm): 659.563  reward(raw): 659.6  len: 1000  time: 4.69s
[  13000 / 100000]  ep  13  reward(norm): 663.335  reward(raw): 663.3  len: 1000  time: 4.53s
[  14000 / 100000]  ep  14  reward(norm): 716.676  reward(raw): 716.7  len: 1000  time: 4.46s
[  15000 / 100000]  ep  15  reward(norm): 718.889  reward(raw): 718.9  len: 1000  time: 4.30s
[  16000 / 100000]  ep  16  reward(norm): 750.301  reward(raw): 750.3  len: 1000  time: 4.81s
[  17000 / 100000]  ep  17  reward(norm): 702.654  reward(raw): 702.7  len: 1000  time: 4.71s
