nohup: ignoring input
Experiment 4: adapt to gravity×1 on HalfCheetah-v5, 25 total runs, adapt_steps=100000, partition 5/6, device=cuda
[  58000 / 100000]  ep  58  reward(norm): 1859.895  reward(raw):  1859.9  len: 1000  time: 24.42s
[  59000 / 100000]  ep  59  reward(norm): 1875.651  reward(raw):  1875.7  len: 1000  time: 23.63s
[  60000 / 100000]  ep  60  reward(norm): 1882.080  reward(raw):  1882.1  len: 1000  time: 23.94s
[  61000 / 100000]  ep  61  reward(norm): 1836.862  reward(raw):  1836.9  len: 1000  time: 21.36s
[  62000 / 100000]  ep  62  reward(norm): 1883.147  reward(raw):  1883.1  len: 1000  time: 24.25s
[  63000 / 100000]  ep  63  reward(norm): 1835.656  reward(raw):  1835.7  len: 1000  time: 24.11s
[  64000 / 100000]  ep  64  reward(norm): 1865.903  reward(raw):  1865.9  len: 1000  time: 22.68s
[  65000 / 100000]  ep  65  reward(norm): 1869.296  reward(raw):  1869.3  len: 1000  time: 20.17s
[  66000 / 100000]  ep  66  reward(norm): 1891.572  reward(raw):  1891.6  len: 1000  time: 24.70s
[  67000 / 100000]  ep  67  reward(norm): 1884.013  reward(raw):  1884.0  len: 1000  time: 23.23s
[  68000 / 100000]  ep  68  reward(norm): 1886.115  reward(raw):  1886.1  len: 1000  time: 24.21s
[  69000 / 100000]  ep  69  reward(norm): 1857.672  reward(raw):  1857.7  len: 1000  time: 24.99s
[  70000 / 100000]  ep  70  reward(norm): 1904.729  reward(raw):  1904.7  len: 1000  time: 24.86s
[  71000 / 100000]  ep  71  reward(norm): 1888.733  reward(raw):  1888.7  len: 1000  time: 23.75s
[  72000 / 100000]  ep  72  reward(norm): 1880.707  reward(raw):  1880.7  len: 1000  time: 24.66s
[  73000 / 100000]  ep  73  reward(norm): 1881.117  reward(raw):  1881.1  len: 1000  time: 24.29s
[  74000 / 100000]  ep  74  reward(norm): 1865.122  reward(raw):  1865.1  len: 1000  time: 25.19s
[  75000 / 100000]  ep  75  reward(norm): 1846.250  reward(raw):  1846.2  len: 1000  time: 24.25s
[  76000 / 100000]  ep  76  reward(norm): 1892.494  reward(raw):  1892.5  len: 1000  time: 24.97s
[  77000 / 100000]  ep  77  reward(norm): 1863.394  reward(raw):  1863.4  len: 1000  time: 25.44s
[  78000 / 100000]  ep  78  reward(norm): 1879.389  reward(raw):  1879.4  len: 1000  time: 25.56s
[  79000 / 100000]  ep  79  reward(norm): 1868.750  reward(raw):  1868.8  len: 1000  time: 24.33s
[  80000 / 100000]  ep  80  reward(norm): 1879.693  reward(raw):  1879.7  len: 1000  time: 22.18s
[  81000 / 100000]  ep  81  reward(norm): 1847.485  reward(raw):  1847.5  len: 1000  time: 26.57s
[  82000 / 100000]  ep  82  reward(norm): 1890.598  reward(raw):  1890.6  len: 1000  time: 24.26s
[  83000 / 100000]  ep  83  reward(norm): 1906.310  reward(raw):  1906.3  len: 1000  time: 24.20s
[  84000 / 100000]  ep  84  reward(norm): 1940.073  reward(raw):  1940.1  len: 1000  time: 26.84s
[  85000 / 100000]  ep  85  reward(norm): 1902.779  reward(raw):  1902.8  len: 1000  time: 23.00s
[  86000 / 100000]  ep  86  reward(norm): 1877.517  reward(raw):  1877.5  len: 1000  time: 25.07s
[  87000 / 100000]  ep  87  reward(norm): 1931.068  reward(raw):  1931.1  len: 1000  time: 26.51s
[  88000 / 100000]  ep  88  reward(norm): 1931.053  reward(raw):  1931.1  len: 1000  time: 25.74s
[  89000 / 100000]  ep  89  reward(norm): 1872.910  reward(raw):  1872.9  len: 1000  time: 24.21s
[  90000 / 100000]  ep  90  reward(norm): 1882.940  reward(raw):  1882.9  len: 1000  time: 24.69s
[  91000 / 100000]  ep  91  reward(norm): 1880.282  reward(raw):  1880.3  len: 1000  time: 25.06s
[  92000 / 100000]  ep  92  reward(norm): 1923.351  reward(raw):  1923.4  len: 1000  time: 24.43s
[  93000 / 100000]  ep  93  reward(norm): 1867.522  reward(raw):  1867.5  len: 1000  time: 27.71s
