step,episode_reward,episode_length,world_model_loss
200,-37.9259234786856,200,
400,-10.095659718431444,200,
600,-5.489043345375978,200,
600,,,3.7779932022094727
800,-8.030647254190454,200,
800,,,3.061192035675049
1000,-5.72184296423176,200,
1000,,,3.4553699493408203
1200,-8.48740757882851,200,
1200,,,3.415113687515259
1400,-6.467479622439313,200,
1400,,,3.07670259475708
1600,-7.690837529831263,200,
1600,,,3.232538938522339
1800,-12.543108462432192,200,
1800,,,2.8934078216552734
2000,-9.386417321224563,200,
2000,,,3.1406755447387695
2200,-8.669954598148077,200,
2200,,,2.9464871883392334
2400,-6.876826835486547,200,
2400,,,3.2690658569335938
2600,-12.28576359122899,200,
2600,,,3.267037868499756
2800,-7.54170515489199,200,
2800,,,3.047994613647461
3000,-12.338388751960505,200,
3000,,,2.6767067909240723
3200,-7.803621639132744,200,
3200,,,3.12784743309021
3400,-9.977171935296996,200,
3400,,,3.1774322986602783
3600,-7.422438177210417,200,
3600,,,3.12282133102417
3800,-15.57936171967295,200,
3800,,,2.6210038661956787
4000,-9.062862168779832,200,
4000,,,2.9223668575286865
4200,-8.167346073669012,200,
4200,,,3.3217759132385254
4400,-9.066460571224981,200,
4400,,,3.1117711067199707
4600,-11.472239416702445,200,
4600,,,3.0267724990844727
4800,-6.750390985677694,200,
4800,,,3.0440564155578613
5000,-12.883805169904736,200,
5000,,,2.7551920413970947
5200,-9.590677349331367,200,
5200,,,3.0550098419189453
5400,-11.740709575401933,200,
5400,,,2.864886999130249
5600,-12.696172709911735,200,
5600,,,2.3624722957611084
5800,-11.811629179782736,200,
5800,,,2.216616153717041
6000,-13.590869488415017,200,
6000,,,1.837960958480835
6200,-11.00041629107978,200,
6200,,,1.9136767387390137
6400,-9.274069697207967,200,
6400,,,1.7850991487503052
6600,-12.589439533348713,200,
6600,,,1.686445951461792
6800,-12.550477656125372,200,
6800,,,1.560018539428711
7000,-12.685249700306663,200,
7000,,,1.6100431680679321
7200,-13.488144296573877,200,
7200,,,1.5848078727722168
7400,-16.467321104616303,200,
7400,,,1.186254858970642
7600,-9.934434580214514,200,
7600,,,1.4953320026397705
7800,-11.675563401729221,200,
7800,,,1.671288013458252
8000,-13.966647685736755,200,
8000,,,1.5926358699798584
8200,-10.13275312613794,200,
8200,,,1.3873083591461182
8400,-11.821995457094719,200,
8400,,,1.2891249656677246
8600,-15.226650874087518,200,
8600,,,1.6388585567474365
8800,-14.498082424595166,200,
8800,,,1.6743340492248535
9000,-11.24622033075811,200,
9000,,,1.340552806854248
9200,-11.256884864548272,200,
9200,,,1.45976984500885
9400,-9.529411095163228,200,
9400,,,1.4190855026245117
9600,-12.235656268990619,200,
9600,,,1.4633409976959229
9800,-16.14407978080378,200,
9800,,,1.3722450733184814
10000,-8.329789280162956,200,
10000,,,1.7856003046035767
