step,episode_reward,episode_length,world_model_loss
200,-38.025011,200,0.0
400,-8.678188,200,0.0
600,-4.700251,200,0.0
800,-9.257154,200,0.0
1000,-5.172245,200,0.0
1200,-7.743092,200,0.0
1400,-8.195585,200,0.0
1600,-8.959291,200,0.0
1800,-11.332982,200,0.0
2000,-9.075854,200,0.0
2200,-8.627137,200,0.0
2400,-7.981907,200,0.0
2600,-15.234688,200,0.0
2800,-7.298799,200,0.0
3000,-10.084147,200,0.0
3200,-8.222649,200,0.0
3400,-9.34751,200,0.0
3600,-7.909419,200,0.0
3800,-14.794773,200,0.0
4000,-8.989159,200,0.0
4200,-10.724406,200,0.0
4400,-8.404615,200,0.0
4600,-13.679136,200,0.0
4800,-8.694057,200,0.0
5000,-11.735004,200,0.0
5200,-11.510217,200,0.0
5400,-12.390402,200,0.0
5600,-10.52251,200,0.0
5800,-12.325538,200,0.0
6000,-15.473988,200,0.0
6200,-11.086945,200,0.0
6400,-9.115811,200,0.0
6600,-12.523913,200,0.0
6800,-10.909437,200,0.0
7000,-12.664126,200,0.0
7200,-12.823503,200,0.0
7400,-13.638069,200,0.0
7600,-10.820729,200,0.0
7800,-10.896417,200,0.0
8000,-9.75548,200,0.0
8200,-9.762156,200,0.0
8400,-9.60126,200,0.0
8600,-11.327384,200,0.0
8800,-10.941318,200,0.0
9000,-9.533282,200,0.0
9200,-9.714361,200,0.0
9400,-9.08408,200,0.0
9600,-8.821496,200,0.0
9800,-10.674402,200,0.0
10000,-9.485174,200,0.0
