step,episode_reward,episode_length,world_model_loss
200,-85.47716545616099,200,
400,-9.572123182202798,200,
600,-6.439383428457995,200,
600,,,9.40507984161377
800,-5.172835653195288,200,
800,,,8.664935111999512
1000,-5.505742824698806,200,
1000,,,8.494473457336426
1200,-8.663234795447147,200,
1200,,,7.787599086761475
1400,-9.618764458088183,200,
1400,,,6.700965404510498
1600,-8.761692141016923,200,
1600,,,5.693233489990234
1800,-8.66640855135882,200,
1800,,,4.994837284088135
2000,-8.849001002358955,200,
2000,,,4.0145392417907715
2200,-14.006060120752434,200,
2200,,,2.8593595027923584
2400,-6.3024506086699885,200,
2400,,,2.4325811862945557
2600,-8.489645260028338,200,
2600,,,2.612086772918701
2800,-12.66825986889034,200,
2800,,,2.1172237396240234
3000,-8.00520987119281,200,
3000,,,2.053983211517334
3200,-7.464712617572756,200,
3200,,,2.1999945640563965
3400,-11.372357078735646,200,
3400,,,1.9175305366516113
3600,-7.354397396797699,200,
3600,,,1.9292244911193848
3800,-6.032843364509205,200,
3800,,,2.1067962646484375
4000,-13.287231092109785,200,
4000,,,1.6807161569595337
4200,-6.8406443286513925,200,
4200,,,1.8975752592086792
4400,-7.68276338777982,200,
4400,,,1.8903385400772095
4600,-7.041268370035529,200,
4600,,,1.7366657257080078
4800,-8.575714103752125,200,
4800,,,1.7461580038070679
5000,-14.254258542587133,200,
5000,,,1.6945090293884277
5200,-9.532953164037256,200,
5200,,,1.8774921894073486
5400,-11.01328321186471,200,
5400,,,1.8617874383926392
5600,-9.915697970510019,200,
5600,,,1.669287085533142
5800,-7.452538361044844,200,
5800,,,1.7338937520980835
6000,-9.839916080132936,200,
6000,,,1.4941705465316772
6200,-8.995106934524868,200,
6200,,,1.482506513595581
6400,-13.349683413337848,200,
6400,,,1.6734601259231567
6600,-9.989135510864987,200,
6600,,,1.8884621858596802
6800,-10.328565368102124,200,
6800,,,1.6156491041183472
7000,-10.071383878711565,200,
7000,,,1.6277337074279785
7200,-7.32340486438421,200,
7200,,,1.4103718996047974
7400,-7.634469646968525,200,
7400,,,1.4111913442611694
7600,-9.043157496603515,200,
7600,,,1.56541907787323
7800,-8.223830507725934,200,
7800,,,1.661754846572876
8000,-12.52670850574827,200,
8000,,,1.4505887031555176
8200,-9.69385590227935,200,
8200,,,1.45838463306427
8400,-8.4197188410887,200,
8400,,,1.419120192527771
8600,-6.980140764778145,200,
8600,,,1.4267770051956177
8800,-8.659916429169632,200,
8800,,,1.409115195274353
9000,-13.341996391648875,200,
9000,,,1.3799633979797363
9200,-13.862226386301337,200,
9200,,,1.4263026714324951
9400,-14.769934834549165,200,
9400,,,1.4051958322525024
9600,-13.444627571943503,200,
9600,,,1.396618127822876
9800,-11.004083185655194,200,
9800,,,1.4329637289047241
10000,-12.47355323800566,200,
10000,,,1.3685044050216675
