env,agent,mean,std
Hopper-v5,categorical,31.51774596650725,27.74893067826144
Hopper-v5,gaussian,227.75807957822198,108.97093916144235
Hopper-v5,sac,446.3091582037875,337.682993957915
Pendulum-v1,categorical,-1136.239066651273,37.97439593796984
Pendulum-v1,gaussian,-1098.909882064406,20.65319985534707
Pendulum-v1,sac,-693.7994334673604,507.3573158231297
Walker2d-v5,categorical,63.853769165586165,148.5697275250451
Walker2d-v5,gaussian,179.6173275310958,91.15648535437751
Walker2d-v5,sac,383.86961801322553,87.29276501694709
