,agent,baseline,baseline,post_adapt,post_adapt
,,mean,std,mean,std
0,categorical,299.7915552298231,132.20699891281228,-179.3398981437906,182.19800115671717
1,gaussian,360.79449152994414,265.8393385215973,263.3109767128375,529.4668329130018
2,sac,2098.6292191121765,1873.1322595016288,2192.060996909907,2497.5317250782655
