step,episode_reward,episode_length,world_model_loss
200,-86.19401927756114,200,
400,-9.072291311842148,200,
600,-5.64673708794754,200,
600,,,3.0593435764312744
800,-4.937748694911469,200,
800,,,3.3045175075531006
1000,-5.402510304677032,200,
1000,,,3.9111461639404297
1200,-8.085294647435159,200,
1200,,,3.3821616172790527
1400,-9.06605247484754,200,
1400,,,3.096842050552368
1600,-8.484902101291349,200,
1600,,,3.213456869125366
1800,-8.336463411504296,200,
1800,,,3.2575416564941406
2000,-7.900574668442449,200,
2000,,,3.2846157550811768
2200,-14.008503935434575,200,
2200,,,2.8121633529663086
2400,-6.415455537601021,200,
2400,,,2.7621073722839355
2600,-8.954867169544595,200,
2600,,,3.0981738567352295
2800,-12.924693332699153,200,
2800,,,2.933537006378174
3000,-8.068877757014633,200,
3000,,,3.4535200595855713
3200,-7.099349213128254,200,
3200,,,3.2290470600128174
3400,-11.408519955593947,200,
3400,,,3.0933847427368164
3600,-6.63541311766819,200,
3600,,,3.041504144668579
3800,-6.951120196761577,200,
3800,,,3.1116368770599365
4000,-13.365430493721094,200,
4000,,,3.3096234798431396
4200,-7.571853945875149,200,
4200,,,3.157379150390625
4400,-7.612116852150527,200,
4400,,,2.8529539108276367
4600,-7.103778044035643,200,
4600,,,2.744938373565674
4800,-9.35953236582884,200,
4800,,,2.4020092487335205
5000,-14.26614354354854,200,
5000,,,2.589599370956421
5200,-9.42024063294012,200,
5200,,,2.4319825172424316
5400,-11.158027524757276,200,
5400,,,2.389599561691284
5600,-9.685319236089194,200,
5600,,,2.0934810638427734
5800,-7.408677047220702,200,
5800,,,2.5796990394592285
6000,-8.606722412661748,200,
6000,,,1.7895562648773193
6200,-8.879850112969601,200,
6200,,,1.9478145837783813
6400,-13.00478685129481,200,
6400,,,1.570387840270996
6600,-9.964215005384572,200,
6600,,,1.550981879234314
6800,-10.549988374251173,200,
6800,,,1.398543357849121
7000,-10.04417608583852,200,
7000,,,1.5901844501495361
7200,-7.618750354546351,200,
7200,,,1.637237548828125
7400,-9.24872262769257,200,
7400,,,1.5141559839248657
7600,-6.799863520498596,200,
7600,,,1.5387674570083618
7800,-8.36047340702241,200,
7800,,,1.6081849336624146
8000,-12.326227116727335,200,
8000,,,1.7866685390472412
8200,-8.552762459591952,200,
8200,,,1.622687578201294
8400,-7.6007030300200205,200,
8400,,,1.6427603960037231
8600,-7.442417794545551,200,
8600,,,1.5429649353027344
8800,-7.36841455999133,200,
8800,,,1.5896278619766235
9000,-13.162211533203656,200,
9000,,,1.5008269548416138
9200,-13.61842038887851,200,
9200,,,1.498635172843933
9400,-14.493714960791497,200,
9400,,,1.8594844341278076
9600,-13.202996012539906,200,
9600,,,1.729466438293457
9800,-10.82101954728216,200,
9800,,,1.463560938835144
10000,-12.451470454844538,200,
10000,,,1.572289228439331
